,year,metrodiv_title,county_name,CoC_Code,coc_name,Pop_Type,Pop_Size
1251,2009,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,813
1252,2010,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,997
1253,2011,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,886
1254,2012,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,993
1255,2013,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,1286
1256,2014,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,1487
1257,2015,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,1577
1258,2016,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,1206
1259,2017,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,747
1260,2018,Cambridge-Newton-Framingham,Essex County,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",overall_homeless,732
1261,2009,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,152
1262,2010,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,173
1263,2011,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,173
1264,2012,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,220
1265,2013,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,187
1266,2014,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,234
1267,2015,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,195
1268,2016,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,191
1269,2017,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,167
1270,2018,"Wilmington, DE-MD-NJ",Cecil County,MD-507,Cecil County CoC,overall_homeless,193
1271,2009,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,246
1272,2010,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,324
1273,2011,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,303
1274,2012,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,248
1275,2013,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,285
1276,2014,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,275
1277,2015,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,246
1278,2016,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,311
1279,2017,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,349
1280,2018,"Frederick-Gaithersburg-Rockville, MD",Frederick County,MD-509,Frederick City & County CoC,overall_homeless,309
1281,2009,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,943
1282,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,853
1283,2011,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,789
1284,2012,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,772
1285,2013,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,641
1286,2014,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,686
1287,2015,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,659
1288,2016,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,625
1289,2017,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,544
1290,2018,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,MD-600,Prince George's County CoC,overall_homeless,525
1291,2009,"Frederick-Gaithersburg-Rockville, MD",Montgomery County,MD-601,Montgomery County CoC,overall_homeless,1150
1292,2010,"Frederick-Gaithersburg-Rockville, MD",Montgomery County,MD-601,Montgomery County CoC,overall_homeless,1247
1293,2011,"Frederick-Gaithersburg-Rockville, MD",Montgomery County,MD-601,Montgomery County CoC,overall_homeless,1064
1294,2012,"Frederick-Gaithersburg-Rockville, MD",Montgomery County,MD-601,Montgomery County CoC,overall_homeless,1141
